schema,role,commit,strategy,strategy_sha256,opponent_family,seed_set,seed,scenario_id,police_start,thief_start,config,grid,quota,horizon,outcome,captured,steps,barriers_placed,own_score,opponent_score
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,12843912707837466451,a2d5e5e1e379a7a08196450bc0becd3b9def4a00cd9517a1961e9fc30f45c0f7,"5,6","1,4",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,12567997756000179217,af30ce14f76e50f1fade7866e8894cbdfa098a022c911d896c7f3b2290557a9b,"2,6","2,1",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,9187738737172682972,b8019d4db5e2554b62aeb2188d57598a9788f67ece338f68b792374adc271cc9,"5,4","4,3",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,6900942713815001321,a512acd3f2966e29d612ee3f29c1629fb543198f486ddfbc634bf7383ef53f68,"1,4","0,1",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,14512652966685734242,bb5278125ebdae1449bce2a9ebba1b134704ba5580046dc63dfe37d099dc93fb,"0,6","6,2",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,15141416308091426555,0c84fd84923e59b29e217a76ea03a2c74d4c41e4dd1d47f0d7dd66e1c25e78f2,"0,5","6,4",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,4699758742870073219,6ad34bf71f783a3846a955c36c6e37075db90bebc6b4e7a393d5270e8952d98a,"4,1","0,0",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,10916846545696191496,0a34d1a2243863d6d5d250d110f96c78f618dd5bc9fb37b39eca8da78b186cae,"3,1","6,0",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,15890340081742839043,a3eb0839f94f5ceaba62bfccda4a1abd6b845723912d3dee2954a97056e15c22,"6,0","6,4",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,9560056164909575715,dec44bb85a7552935e6180c1b218b7b96d7dd576fc92c9c70c9b12611f771987,"2,1","4,2",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,630286876331713906,956320c6d9f0a7613ab318f14d7c648fac37dc6397be694075bea1aa1df9783f,"0,6","2,4",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,2328949219399020792,82a9aea87fa8c93918b4139433ef9b2348be2311c6edfcf8ca65e17069c70144,"4,4","3,6",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,15452741310026791750,b44d60df8e2328e3a59513fec63553d09ebeedabb9497fae4a6ab7c1980ab12f,"6,3","1,0",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,6812595032350771077,abe7fdca3fe341a1b062ba0cd86d9876268c2f1066a02c6ca8893bf2dcd0da62,"3,4","3,6",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,1111695869247148952,3ed6cadcd6c9e0ba26e39f35459f0b51aa868189e200529e2e5e4335ddb6d516,"2,3","4,1",grid7,7,14,35,SURVIVAL,0,35,0,10,5
research-2,thief,ac753569210e402f8df3e00fbf57106f63bc01e1,BaselineStrategy,ff52d5395c068f3049bf44d70857f19ed06313452beb9fef2ade74fa0e9d77fb,random_legal,development,5247097859095182945,693528eb5d88286fb9841178729f18ace041053ea1e25f272bb473f19d279d38,"0,4","2,0",grid7,7,14,35,SURVIVAL,0,35,0,10,5
